date,product_id,product_name,sales,promo
1/1/2021,P1,T-Shirt,23,1
1/2/2021,P1,T-Shirt,19,1
1/3/2021,P1,T-Shirt,21,1
1/4/2021,P1,T-Shirt,18,1
1/5/2021,P1,T-Shirt,20,1
1/6/2021,P1,T-Shirt,21,1
1/7/2021,P1,T-Shirt,25,1
1/8/2021,P1,T-Shirt,38,1.6
1/9/2021,P1,T-Shirt,14,1
1/10/2021,P1,T-Shirt,23,1
1/11/2021,P1,T-Shirt,20,1
1/12/2021,P1,T-Shirt,21,1
1/13/2021,P1,T-Shirt,21,1
1/14/2021,P1,T-Shirt,22,1
1/15/2021,P1,T-Shirt,20,1
1/16/2021,P1,T-Shirt,21,1
1/17/2021,P1,T-Shirt,21,1
1/18/2021,P1,T-Shirt,21,1
1/19/2021,P1,T-Shirt,24,1
1/20/2021,P1,T-Shirt,26,1
1/21/2021,P1,T-Shirt,17,1
1/22/2021,P1,T-Shirt,20,1
1/23/2021,P1,T-Shirt,22,1
1/24/2021,P1,T-Shirt,17,1
1/25/2021,P1,T-Shirt,14,1
1/26/2021,P1,T-Shirt,18,1
1/27/2021,P1,T-Shirt,23,1
1/28/2021,P1,T-Shirt,15,1
1/29/2021,P1,T-Shirt,22,1
1/30/2021,P1,T-Shirt,23,1
1/31/2021,P1,T-Shirt,21,1
2/1/2021,P1,T-Shirt,22,1
2/2/2021,P1,T-Shirt,15,1
2/3/2021,P1,T-Shirt,17,1
2/4/2021,P1,T-Shirt,36,1.6
2/5/2021,P1,T-Shirt,18,1
2/6/2021,P1,T-Shirt,22,1
2/7/2021,P1,T-Shirt,23,1
2/8/2021,P1,T-Shirt,18,1
2/9/2021,P1,T-Shirt,21,1
2/10/2021,P1,T-Shirt,24,1
2/11/2021,P1,T-Shirt,26,1
2/12/2021,P1,T-Shirt,22,1
2/13/2021,P1,T-Shirt,21,1
2/14/2021,P1,T-Shirt,19,1
2/15/2021,P1,T-Shirt,18,1
2/16/2021,P1,T-Shirt,21,1
2/17/2021,P1,T-Shirt,18,1
2/18/2021,P1,T-Shirt,29,1
2/19/2021,P1,T-Shirt,18,1
2/20/2021,P1,T-Shirt,24,1
2/21/2021,P1,T-Shirt,28,1
2/22/2021,P1,T-Shirt,26,1
2/23/2021,P1,T-Shirt,23,1
2/24/2021,P1,T-Shirt,19,1
2/25/2021,P1,T-Shirt,20,1
2/26/2021,P1,T-Shirt,24,1
2/27/2021,P1,T-Shirt,20,1
2/28/2021,P1,T-Shirt,23,1
3/1/2021,P1,T-Shirt,20,1
3/2/2021,P1,T-Shirt,18,1
3/3/2021,P1,T-Shirt,19,1
3/4/2021,P1,T-Shirt,18,1
3/5/2021,P1,T-Shirt,24,1
3/6/2021,P1,T-Shirt,22,1
3/7/2021,P1,T-Shirt,17,1
3/8/2021,P1,T-Shirt,18,1
3/9/2021,P1,T-Shirt,19,1
3/10/2021,P1,T-Shirt,20,1
3/11/2021,P1,T-Shirt,21,1
3/12/2021,P1,T-Shirt,22,1
3/13/2021,P1,T-Shirt,27,1
3/14/2021,P1,T-Shirt,19,1
3/15/2021,P1,T-Shirt,22,1
